epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.097,1.10756,3.4206,1.17695,0.82453,0.13422,0.1664,0.14136,0.72321,1.32991,0.98462,1.65242e-05,1.65242e-05,1.65242e-05
2,248.198,0.69695,1.16507,0.93104,0.83284,0.25688,0.29071,0.2457,0.61411,0.78269,0.9347,3.27528e-05,3.27528e-05,3.27528e-05
3,519.801,0.62264,0.82794,0.89813,0.76285,0.34855,0.39448,0.33205,0.57863,0.62063,0.92182,4.85413e-05,4.85413e-05,4.85413e-05
4,582.892,0.59297,0.69,0.89175,0.85974,0.42299,0.50808,0.42351,0.56273,0.53959,0.91929,4.802e-05,4.802e-05,4.802e-05
5,671.416,0.57102,0.60841,0.88014,0.72408,0.55029,0.59249,0.48884,0.54678,0.47563,0.91226,4.736e-05,4.736e-05,4.736e-05
6,925.112,0.56385,0.55414,0.87869,0.79447,0.59527,0.67207,0.55288,0.54946,0.43278,0.91061,4.67e-05,4.67e-05,4.67e-05
7,1026.43,0.54664,0.49648,0.871,0.78138,0.65987,0.71483,0.58285,0.53993,0.40627,0.90987,4.604e-05,4.604e-05,4.604e-05
8,1144.11,0.5307,0.46657,0.86809,0.84421,0.67122,0.75582,0.61963,0.52467,0.38159,0.90419,4.538e-05,4.538e-05,4.538e-05
9,1322.64,0.52098,0.44192,0.86485,0.84881,0.70921,0.80222,0.65427,0.52989,0.37022,0.90423,4.472e-05,4.472e-05,4.472e-05
10,1363.38,0.5287,0.4276,0.86936,0.8452,0.7417,0.82337,0.6742,0.5169,0.35826,0.8995,4.406e-05,4.406e-05,4.406e-05
11,1481.89,0.5025,0.40024,0.85589,0.86879,0.76808,0.8462,0.69506,0.50565,0.33921,0.89821,4.34e-05,4.34e-05,4.34e-05
12,1673.97,0.50822,0.39701,0.85961,0.84916,0.78895,0.85426,0.6999,0.50406,0.33497,0.89614,4.274e-05,4.274e-05,4.274e-05
